
                                 CELIAS/MTOF/PM DATA                         SOHO ORBIT DATA
InSitu_Start__Time       [km/s]  [cm-3] [km/s]  [deg] [km/s]      [Re]   [Re]   [Re]  [Mkm]  [deg]  [deg]   [#]
YY MON DY DOY:HH:MM:SS   SPEED     Np     Vth    N/S   V_He      GSE_X  GSE_Y  GSE_Z  RANGE  HGLAT  HGLONG CRN(E)
96 Jan 20 020:17:30:28     412   9.40      33    3.2    421      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:31:00     412   9.40      33    3.0    422      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:31:30     411   9.39      32    3.1    421      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:32:00     410  10.54      32    3.0    419      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:32:30     412   9.40      33    3.4    421      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:33:00     409  10.52      31    3.5    418      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:33:30     410  11.39      31    3.6    418      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:34:00     412  10.22      31    3.4    420      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:34:30     411  10.53      32    3.5    420      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:35:01     412  10.23      32    3.1    421      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:35:31     412  10.23      32    3.3    421      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:36:01     415   9.99      32    3.5    424      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:36:31     414   9.14      33    3.3    424      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:37:01     415   9.14      33    3.4    425      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:37:31     413   9.42      33    3.4    423      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:38:01     414  10.26      32    3.4    423      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:38:31     412  10.25      32    3.4    421      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:39:03     413   9.42      33    3.4    423      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:39:33     412   9.41      33    3.5    422      211.2 -100.1  -11.0  145.9   -5.1   311.2   1905
96 Jan 20 020:17:40:03     412  10.54      32    3.7    421      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:40:33     413  10.26      32    4.0    423      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:41:03     414  10.26      32    3.6    423      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:41:33     411  10.53      32    3.7    421      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:42:03     412  10.53      32    3.7    422      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:42:37     415  10.27      33    3.6    425      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:43:07     417   9.19      34    3.5    428      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:43:37     419   8.91      34    3.2    431      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:44:07     412  10.90      33    3.9    422      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:44:37     417   9.19      34    3.5    428      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:45:07     418   9.20      35    2.8    429      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:45:37     412  10.87      33    3.8    422      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:46:06     410  12.23      32    3.8    419      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:46:36     408  12.19      32    3.1    417      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:47:06     413  10.90      34    4.4    424      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:47:36     412  11.76      32    4.1    421      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:48:06     410  12.23      32    4.0    419      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:48:36     412  11.76      32    4.7    421      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:49:06     416   8.86      33    2.9    426      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:49:36     408  11.33      32    3.1    417      211.2 -100.1  -11.0  145.9   -5.1   311.1   1905
96 Jan 20 020:17:50:06     406  11.34      32    2.7    415      211.2 -100.1  -11.0  145.9   -5.1   311.0   1905
96 Jan 20 020:17:50:36     410  10.52      31    2.5    419      211.2 -100.1  -11.0  145.9   -5.1   311.0   1905
96 Jan 20 020:17:51:08     413  10.57      33    3.6    423      211.2 -100.1  -11.0  145.9   -5.1   311.0   1905
